,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDJPY,USDKRW,USDNOK,USDPLN,USDSEK,USDSGD,ZARUSD,avg_QLIKE
LogSHAR,0.13639015564121196,0.13894797457080227,0.13161621518892577,0.13221478984700144,0.1177305446533935,0.2201410255053014,0.23890932286955885,0.2733539637182062,0.10250765166108947,0.0944433229862595,0.10920397527476525,0.11803722158588141,0.15282606940664703,0.15125555637761876
LogHAR,0.13733411051795288,0.13952174858518523,0.1321145837746405,0.13277870664308716,0.1187014811859271,0.22452471871993765,0.24004915782990063,0.2736097851051681,0.1031151657892033,0.09457330777291631,0.1097005486114558,0.11767663395190778,0.15429449607430878,0.15215341881243008
GBRT,0.14033314244967154,0.14458139896570013,0.13499146217520236,0.133598626283294,0.12359320708877097,0.23327015137274748,0.25803212574201523,0.2909732083428496,0.11495154236568084,0.09856872781954154,0.11274477392490181,0.12290678621410855,0.15924925205038512,0.15906110806114376
ARFIMA,0.14396053636468387,0.1470483929696765,0.14156761426489084,0.13888426718370328,0.1284319422110443,0.2219583842049491,0.24984884695416681,0.29122891797822387,0.1119381607288719,0.10074057028711571,0.1165747765638671,0.12849560264461843,0.16806849417405,0.16067280819460478
HAR,0.14264987044812036,0.1434592986027814,0.1394199525356333,0.1368732313857182,0.12298581748139595,0.3580070943978272,0.2765871308045437,0.2970718601786858,0.1071814806703654,0.09835985911358645,0.1116365429993176,0.1184818272240044,0.15670430827039689,0.16995525185479818
AR1Log,0.15561310109604187,0.16200875854599864,0.14807819646046694,0.15161819367321736,0.14508000552008343,0.217273692768913,0.26844494300456767,0.3191004911797167,0.11897273715379805,0.11012856827214838,0.1262567762570392,0.13693606623749585,0.18492296542149553,0.1726488073531525
EWMA,0.15768894033806022,0.1576353526230663,0.16371778031222675,0.14996667987557724,0.13291881565191374,0.27650947242438506,0.27908262490185076,0.2805941960460878,0.12619024608642443,0.11935715409516685,0.12722294951778718,0.1343100615356255,0.17033354613360635,0.17504060150321368
SHAR,0.14248994169618562,0.1442948325337995,0.14086503496685404,0.1372261666166652,0.12242835889093938,0.33200221870306,0.27510501240331003,0.2962253923125731,0.10718217453662153,0.09951392356256641,0.11239798128378674,0.1197464286335409,0.2953524164036525,0.17883306788796577
MA22,0.16546505168027378,0.16619860693906477,0.17606585222388574,0.15863182074597812,0.13851158335663188,0.28412940074994564,0.2978160040152412,0.2906944526924449,0.1343102136078844,0.1275458674497083,0.13408929300136915,0.1419799637020246,0.1813010376867567,0.1843645498347084
RW,0.19535467383906915,0.20342944753990308,0.17594721348494596,0.19256358630687942,0.1779139663776669,0.24802823385465678,0.36285914800445085,0.48347643058164536,0.1415655697793502,0.12691756548982405,0.15746527922166553,0.17011939925374056,0.23524350261666618,0.22083723202695876
LogHAR-CJ,0.13400075841215278,0.13590165920650327,0.12950065136211,0.12990692776998708,0.11612164997666145,2.474542852064046,0.23881209639646697,0.2728148328108323,0.10254935411396458,0.09259719053463546,0.10677166748910549,0.11572148419293028,0.15474852975924427,0.32338381954528
LogHAR-J,0.13754222287146042,0.13816130016083,0.13923586018612302,0.13153424765334631,0.11763711809849704,2.4723177266989307,0.23986826669297728,0.27368449537441525,0.10445952639405774,0.09385025753452267,0.10887685561018007,0.1178306785700716,0.15351680986802455,0.3252704127471875
HistMean,0.30913336904141436,0.3314660623506078,0.3243214123554932,0.2909572315943488,0.32716745777450484,0.45710089412500426,0.44982474971933284,0.40643925104173045,0.2933510394391656,0.32336014680205544,0.2504748743332092,0.2675407159802948,0.2695261519345711,0.3308202581916717
HAR-J,0.17553513787063205,0.19660323243630254,0.1390673664845731,0.13440658668531832,0.12075963881883486,2.543929509623989,0.27566450607126564,0.2989535729094931,0.10668895114685292,0.09612668355971922,0.1087703065787254,0.11734932284021375,0.15587730288825113,0.34382554753185934
HAR-CJ,0.1783108436782372,0.19686495175318144,2.954754388533233,0.1348975420629963,0.12175325975265325,3.864408945506734,0.2777628587637181,0.2985133788892806,0.10919220243290426,0.09657765235551774,0.10845716773037224,0.11686420575302468,0.15658227722358914,0.6626876672642645
HARQ,0.20844517044329222,0.5623261934631195,10.475804915846226,0.17251715408421783,0.12255130607086252,2.571650417944584,0.2641113605924091,0.2947416873670431,0.43892193110681665,0.09823668469627196,0.19504953979635462,0.11939141367068534,0.22667093731732194,1.2115706701845543
