,ADA,ALGO,ATOM,AVAX,BCH,BNB,BTC,DOGE,DOT,ETC,ETH,FIL,FTT,LINK,LTC,LUNA,MATIC,SOL,TRX,VET,XLM,XRP,avg_QLIKE
AR1Log,0.27981941931519594,0.24090647104096585,0.2352650078740805,0.23593020886469748,0.28158555346964587,0.2840869108854693,0.282639841911243,0.6112691578007888,0.2363625439404379,0.32093206358943654,0.26976900446065166,0.2802539311986416,1.4342893416935567,0.2178889526247067,0.26532818661640706,3.6485738488944737,0.2706066845365377,0.27530085445013597,0.39056801032953686,0.26469291823868296,0.3282479399987644,0.4629124528680552,0.5053286047546414
GBRT,0.2794321993875713,0.23162474748630393,0.22778053108196084,0.23822521130965088,0.31118370540177714,0.25925940025008476,0.2495580951362592,0.6644427094174506,0.21976908464779563,0.3299187166883437,0.2471318722602259,0.32521414942073024,2.25081136413709,0.21692278714721763,0.26319210660365683,3.719555283984954,0.27002334106305176,0.27943289887068495,0.3557098511518414,0.2567813545957704,0.33778928642827294,0.45517924988882336,0.5449517248345235
LogSHAR,0.2559416302135182,0.22342686063859818,0.21176049963988192,0.21839196345573625,0.27116912536563054,0.2515850465478159,0.24961605276017687,0.5515359800700698,0.2084792478801895,0.29965974885862656,0.2451303544678008,0.27477804971598124,1.7511150887392588,0.19583218046583672,0.24899541350807572,5.189749416919042,0.24820953149319028,0.26440116916600687,0.3376690324878499,0.2376204797647171,0.29081634373622267,0.4276989443837266,0.5660719163762705
LogHAR,0.25695606284432543,0.22330686970534094,0.21201826120208492,0.21806423599388772,0.27097165820955466,0.2514636765352287,0.24858669577802756,0.5506388540149191,0.21170243058447585,0.30126843942246173,0.24410359020227557,0.2742505355178464,1.7463432686131337,0.1965177861422342,0.24739181363493576,5.358260801630614,0.24893255578654194,0.2636109703710798,0.3404598192845077,0.23814890284459178,0.2925505632297654,0.4273101364993167,0.5737662694566886
LogHAR-CJ,0.24692405068068468,0.22251463964624196,0.2086929997431451,0.21758006851519462,0.27394462065612163,0.24651131503122675,0.2485326820421796,0.5880930889346876,0.1977982169350346,0.3111055994962025,0.2383082788588503,0.2813377098226379,2.215911291769186,0.19451097213325327,0.2448173724062603,5.073681472355759,0.24572827660599156,0.26603014066704267,0.3374010821159106,0.2316610851135479,0.28120024585683795,0.444232739442553,0.5825689976740249
LogHAR-J,0.2550320092197639,0.2218152278263249,0.2115484003918,0.21835941087471,0.27082173857301667,0.251415423009701,0.24957175433260337,0.5467966466048387,0.2108859935910264,0.3018006232763028,0.24425985520848464,0.27366996357492446,2.4894294669527466,0.19599034203116547,0.24654658701382617,5.290454674279192,0.24706927942078402,0.2631919365259242,0.33860445914006954,0.23481935246374258,0.2901070225330975,0.42825649839316515,0.6036566666016914
HAR,0.31638504691763514,0.31633483832338855,0.3165005881465816,0.300715915076718,0.31853078838953747,0.3808344332549185,0.30984426809767834,1.5785912115431968,0.3521430077720284,0.3425379819711734,0.31096731168322816,0.3149651117925691,1.5602344786162472,0.2675649885797827,0.290341277516432,4.606840430460036,0.43725199183099717,0.3401659196582745,0.6324083670355112,0.34604561690739394,0.3482445884635715,0.43067618285123943,0.6553692884040063
SHAR,0.3220104266026311,0.3254020988178597,0.31769781892837323,0.29492604008506584,0.32029178424738286,0.3873305981300579,0.3031755765692264,1.7349534090754284,0.5887719669400026,0.3444401785740616,0.31133608883396047,0.40154745310526174,1.559447776674291,0.26740027967992763,0.2921959235277523,4.341624024817731,0.420587756421063,0.3402309108723841,0.6356142824714734,0.34880803852832043,0.3508053851435319,0.43442403470234725,0.6655919023976425
HAR-J,0.3162890281252549,0.4951390989035455,0.46053848535245506,0.30120585889135254,0.31754386714978317,0.3822267711248551,0.32182220627218205,1.6470552582201403,0.3551382369583244,0.4155961862622894,0.3094634809626429,0.3153634594363466,1.6862162949661315,0.2920858249909832,0.3019543798856999,4.659499355017604,0.5567742424736873,0.3399785828428797,0.6442530209989271,0.3465785845240948,0.3735910951224819,0.4329078814107305,0.6941464181769269
HAR-CJ,0.329615793926107,0.8245876066211789,0.3256807786154485,0.3004983516092776,0.32350725553112264,1.228186426972269,0.32588152712185997,0.912496038168923,0.36772219931984623,0.42402310649519764,0.31593201080552197,0.36034136389029253,1.722707752641915,0.2920879332735829,0.30144601069261734,4.6878361125149945,0.5700450992332713,0.3474930993093231,1.4661718533273784,0.35484423661039044,0.372625065246393,0.46136130495448907,0.7552314057673363
HistMean,0.497395896814081,0.48261605109500944,0.5031190413506079,0.5583035775025739,0.4610799479458815,0.6353160518409111,0.4498601369545299,0.9849932393802696,0.5763454634661045,0.5487302734396259,0.48263904678693365,0.393713041934575,1.8631828479737909,0.41901610136365836,0.44591385542514794,3.7372947000966175,0.7742104425982219,0.5320690121227705,0.939957699845875,0.5340008365255172,0.6067562844542688,0.7321513029954684,0.7799393114505655
RW,0.4932902401365105,0.3837693909879534,0.388939247626433,0.3933588824057373,0.5778704177194075,0.4775191554658177,0.8358661569393363,1.0639005169991345,0.38086656208290703,0.6496609997030843,0.6077762076094689,0.6184468310181881,2.1301643834620267,0.3709775573309305,0.5638170864278111,4.831205129898091,0.4490956573635928,0.4928905768373136,0.605400333721872,0.3946243889405404,0.5151094719980801,1.0427321902108446,0.8303309720402308
EWMA,0.3148685252350811,0.3005953129616606,0.25592663040821323,0.287809711556649,0.3189873566434638,0.30897541687603725,0.28891551148378813,0.518287552668016,0.2546773524286072,0.34436199041845933,0.2857949022060712,0.3272788214670999,3.2620969946918335,0.2421151915830108,0.29257729509593305,8.852261005837589,0.3407061822435697,0.3773147666545203,0.4103899398307275,0.27781509926021375,0.35298424028730546,0.4718271525387192,0.8493894069262077
MA22,0.3710079230885846,0.3578817211447913,0.30765893153646034,0.34963199805575296,0.3672138835936046,0.36374564470729137,0.3542054098339893,0.591267326391273,0.3119772596097268,0.4111308724719951,0.33964912887003174,0.41119203952193345,3.7644839681717954,0.2849154876603397,0.3375062216118625,9.786550614100355,0.3793609178272263,0.4662401865692803,0.43263758070025926,0.33047749185226516,0.38846451914073393,0.5624956461028626,0.966804307843746
