,C,CL,ES,EU,FV,GC,HG,NG,NQ,S,SI,TY,W,avg_QLIKE
LogHAR-CJ,0.14528651324804728,0.12951956279169455,0.18823365577323142,0.08076468721330932,0.14016024082997341,0.11701385775616359,0.10887454676434699,0.10059097829017578,0.1620084129023641,0.12719145427302453,0.09775296812021221,0.11434282635582597,0.08321979721510857,0.12268919242565211
LogSHAR,0.15809897189773048,0.11503393690998355,0.183440268255825,0.0838151266166556,0.14421702881571544,0.12128131227655413,0.107783918100038,0.11102370670572426,0.15890493526764776,0.12404717383526391,0.09780011848901139,0.11794829085251365,0.08672842819348174,0.12385563201662651
LogHAR,0.15910173958266963,0.11509700416399546,0.18785940516689664,0.08411899481006947,0.14640647156793263,0.12177886695261629,0.1082665266614009,0.11406450339615841,0.1620759536317119,0.12434517412227944,0.09788553148382523,0.11963525258959483,0.08451575538270843,0.12501162919321993
ARFIMA,0.15646968395356098,0.15072010056804053,0.20041453558475733,0.09736478902926576,0.16117882864208688,0.12059102284656043,0.11851360442667501,0.1184235326592326,0.17754618559919969,0.1296253346760043,0.10927523363051611,0.12770326155876865,0.10286425936075615,0.1362069517334942
GBRT,0.14877697985657554,0.21463330232752995,0.210905598476889,0.08571606154839155,0.15085266217080742,0.12318628378091706,0.11662688957577425,0.11644148171160858,0.17948252115279298,0.12342387739585177,0.1074137085575172,0.12265730093379665,0.08570921338705423,0.13737122160580817
EWMA,0.1784620153249001,0.16227281072209798,0.28641203642721696,0.094150427451722,0.16289409253378873,0.12103948743677309,0.12293772588227063,0.13877480478627166,0.23104342157913865,0.13978342006263533,0.11274382069922158,0.13847817882706806,0.09022796761587946,0.15224770841146032
MA22,0.19539121625424957,0.15880324411712096,0.3088724832199242,0.10460493762507762,0.17180867589866758,0.1341401047461961,0.13013030481709592,0.13573087955253227,0.24590312639203224,0.146251195421685,0.12298143244298466,0.14863806714924754,0.09689157010098944,0.16154978751829255
AR1Log,0.19311467155407822,0.17300217271351273,0.20835359254980307,0.1141644153156398,0.19014859864611153,0.152856743279851,0.12733968220318923,0.14585345751117165,0.1928770193449904,0.1507206076218725,0.13513347512612378,0.1462555464824609,0.2198235010228313,0.16535719102858737
HistMean,0.2929150932911795,0.89432735189293,0.6094756702602288,0.24720272513870484,0.37539301419139,1.3497093845648431,0.2487664711775004,0.34442423118319804,0.49025543871838095,0.20524713886019402,0.3802878363963584,0.268576776609658,0.20700312122743575,0.45489109642400016
HAR,0.19244537348404256,3.4384458016302752,0.2155718000339645,0.08993308284123491,0.17106360768483564,1.2607655148789036,0.11686942341266458,0.14539918376877178,0.17700681877923696,0.1502888064088687,0.1125902936613128,0.12999175435674665,0.09278451642335636,0.4840889213357088
SHAR,0.19177537906064768,0.7126258670703862,0.20661855158336462,0.08985457786799203,0.16853956618535013,4.4525946646576715,0.11662707177479574,0.13266515626601877,0.18452069772153903,0.14889662224184014,0.11360453436954447,0.12890746465617603,0.09330346541237049,0.5185025860667459
RW,0.3904559909263533,0.19729931896132252,0.3410411180534719,0.18339123986017347,0.3100432401445079,0.21144543503648466,0.15830819337453153,0.18912553113642858,0.3432005108160665,0.29020373371374336,0.18159200067703832,0.24279230971028715,4.033114178307029,0.5440009846705721
LogHAR-J,0.15674729765837103,10.43570425814981,0.18966695964954994,0.0824623011012824,0.1436662195324775,0.11840655330026387,0.11523614794587655,0.11519151039068297,0.163384256932405,0.12283890891620278,0.0983947924606792,0.11682973382998135,0.08680723589086496,0.9188720135198807
HARQ,0.2469970202867153,14.650450636680844,2.8652961331326083,0.15271470121269223,0.16352659016055657,1.150638919701942,0.17211995271157124,0.174099302800482,0.17081149308940088,0.21426057551927813,0.3249927694323651,0.12935884735385944,0.08973245677244446,1.5773076460657511
HAR-J,0.18252798588632227,13.752216389563735,0.2162185842084538,0.09420763122885507,0.16089052656898387,21.51926909935837,0.11487170486433695,0.11627550663164575,0.1769881833337258,0.14721601292633926,0.11393540113457248,0.12356827709141877,0.09053146283254006,2.8314397512022533
HAR-CJ,0.1854188792289951,18.441805686787657,1.1089121460459879,0.09450850486896363,0.15812240164942704,26.660461750761023,0.13711174141461938,0.1085730037816976,0.17968161931144347,0.1431053780918503,0.11609626443679769,0.1224200154647083,0.08926619305576568,3.657344891146072
