,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDJPY,USDKRW,USDNOK,USDPLN,USDSEK,USDSGD,ZARUSD,avg_QLIKE
LogSHAR,0.09807293845721309,0.08408461679836934,0.11151291971000267,0.07729707199561346,0.07529756415229788,0.20887190552119056,0.15696431237428807,0.11540512251034052,0.11149256940607402,0.0847855358675232,0.0769588488413581,0.06699587692936897,0.07603497268909107,0.10336725040405623
LogHAR,0.09849641902390346,0.08435382191170332,0.11190637794711632,0.07762192243609772,0.07576882813023339,0.20898909769093066,0.15714196656969623,0.11534340752059655,0.1118650541957779,0.08505564311886203,0.07714434433889274,0.06710465182125605,0.07641909522769609,0.10363158691790483
LogHAR-CJ,0.09659749035703473,0.082198824991218,0.10807929158142392,0.07777489300055218,0.0751598989543525,0.28104845562695235,0.15858756544895247,0.12376678998495301,0.10908255427126583,0.0837168684655401,0.07385558782759981,0.06733183349902738,0.07536745293840032,0.10865903899594404
LogHAR-J,0.09753657428364068,0.08363853272589618,0.11258151667018082,0.07664880101082339,0.07538621342028015,0.297486159434553,0.15699066172051193,0.11483482848601355,0.11193052599723727,0.0843750446296583,0.07641072243548608,0.06698376210379627,0.07626742982606965,0.11008236713416515
ARFIMA,0.10513959161102229,0.0954768307811053,0.11781699907463897,0.08357409657602044,0.08302505015552743,0.23041016993715208,0.16906711816147682,0.13266157170100581,0.11444105939483222,0.0903197435401776,0.07993473545714203,0.0861788700092808,0.08939046204936593,0.11364894603451905
GBRT,0.11109854928313188,0.08954338230610208,0.12206165192378257,0.0778596602551496,0.08609026836726896,0.23459319765455988,0.1696311146838854,0.12225303410723251,0.12826688550250515,0.09745170717468363,0.08791353943964356,0.07739173208516768,0.08146572064650878,0.11427849564843241
EWMA,0.11966502339551069,0.09418396235490095,0.12532609666648747,0.08833688473391692,0.08728516509266497,0.2231265703030314,0.18700860826736831,0.11929137238068493,0.134136933304705,0.09803991094233641,0.09096207931857958,0.07181970603493576,0.08516999121231247,0.11725786953903347
SHAR,0.11110167272300635,0.09167004663692213,0.1292546385683851,0.08635388115246252,0.08418837221865605,0.2974128621717595,0.18280773991944338,0.14315406820800888,0.11764313656214809,0.10171733433716235,0.08125057858875483,0.06966268927248213,0.08255886934608722,0.12144429920809832
HAR,0.1115125821765529,0.09178513295796915,0.12937486386376512,0.08641711132931491,0.08442242052634849,0.29743388617338534,0.18361908307802707,0.14334001397471677,0.117612769871611,0.10164125943276531,0.08114858687047445,0.06977764244392434,0.08298084423088586,0.12162047668690312
AR1Log,0.11378559642046455,0.10936101541876468,0.12610908479100838,0.09617411358567761,0.10032242793845826,0.24344950350977895,0.18548620118144823,0.15842176707449596,0.11723076749308568,0.10147957824565136,0.08761483020418842,0.09254049284883585,0.10036821537897721,0.12556489185314115
MA22,0.12480134550271174,0.10342194059779589,0.14580769291532772,0.0960498503919512,0.09293937164451145,0.2216543295143208,0.2050218542990467,0.13252862836512386,0.1382004819615724,0.10803653862233288,0.0990604019442026,0.07903170531123041,0.0959315253122851,0.12634505126018558
HAR-J,0.11013435555232522,0.09132962865136478,0.14084739984498257,0.08562103575541652,0.08421160978532075,0.3593281862083693,0.18347759579942632,0.14307500984056742,0.116405885983337,0.10116829986878491,0.08003901865069814,0.06943263190979879,0.08239483093829221,0.12672811452220648
HARQ,0.1176268400546881,0.1279214854484231,0.21794981241021227,0.106077629245707,0.08370866265743879,0.38061486241793824,0.21389554410778722,0.14887490859025576,0.1388785430914843,0.10520055839696406,0.10564261663648468,0.07010095642814947,0.11450993805873715,0.14853864288802077
HAR-CJ,0.11131398985217292,0.09252362390631669,0.12557810943438072,0.08763815208421204,0.08755112163927173,0.9997741930936808,0.1854009585760522,0.14434906710286177,0.11400036085061216,0.10497886077858135,0.07877935560774739,0.06977740931140664,0.08138286357971902,0.17561908198592427
HistMean,0.1921836636215836,0.2076112724498092,0.2122623172588384,0.17210739076498108,0.22269591931025462,0.33023148348126286,0.2557937023848776,0.20034346611629245,0.2002895768387426,0.23409942993688546,0.15284897541415743,0.16235317373590136,0.13572678788203835,0.20604208916889422
RW,0.2122998693781616,0.20735372243601172,0.20692110390834464,0.18796462383667006,0.1727810621126962,0.40312974793497847,0.4493254442132231,0.37487441465313825,0.18811491290866328,0.15068445587110063,0.1616056017337751,0.16746618165041652,0.21694297980108204,0.23842031695678934
