,ADA,ALGO,ATOM,AVAX,BCH,BNB,BTC,DOGE,DOT,ETC,ETH,FIL,FTT,LINK,LTC,LUNA,MATIC,SOL,TRX,VET,XLM,XRP,avg_QLIKE
LogSHAR,0.23287455472824,0.22028256920829906,0.19803915625869342,0.2235790109627677,0.21576261220841336,0.26272198844369427,0.21338883660686708,0.5552714645751666,0.20711705655090806,0.23377289599128853,0.2202642964236762,0.18692406573334605,1.2295333758590725,0.16577461669850468,0.20849864283671649,1.4999777539514172,0.29086808735451164,0.2702090494959916,0.32463390649679813,0.2093878585197017,0.33305456131880484,0.36798160075797703,0.35772354368094805
LogHAR,0.2341833670879765,0.22071950967906243,0.1991108494578998,0.22327035534658526,0.21616979914164533,0.26375440930323013,0.21363555274563575,0.5556644133106419,0.21017654754413134,0.2374881086826571,0.22183898747446282,0.18790128125745048,1.2268166278209045,0.16681480939877097,0.21040737542431848,1.502767975914964,0.2924439202114814,0.26985882712338416,0.3263106384486493,0.2098695207566869,0.33417434979841226,0.3695745740957432,0.35877053636475886
LogHAR-J,0.2310787219225148,0.2364545755751274,0.19775100655874972,0.2235144258431405,0.21679230298603444,0.26273768434798145,0.2133530201564043,0.5565539708595328,0.20841354420452923,0.23910872011797998,0.2193988154623593,0.18805027296940408,1.2453524254094959,0.16660981113862153,0.20698122675677152,1.4902361077182533,0.2897281265402185,0.26914110880186315,0.32613180985771534,0.20761976489829018,0.3310644827677606,0.3710077471398125,0.35895816691057086
AR1Log,0.2662677191849904,0.23192847741766262,0.22612243480721708,0.24227891795020137,0.2284610998459936,0.3033562426559935,0.2332084152746985,0.6154652886142374,0.24079316916924914,0.2656865077450608,0.25283479164973904,0.19913128414812292,1.0980174965424079,0.19420265940764192,0.22766639879548825,1.2703204582512095,0.3111608152423608,0.2747012581514092,0.3917863998127348,0.26189486267435685,0.34951434010228905,0.4073695374100784,0.36782584431150644
LogHAR-CJ,0.2184005797333616,0.2540763758933051,0.20222143777277765,0.21669960848269829,0.22498166544748377,0.2546170984316198,0.21275928013213458,0.5616133834380956,0.20630905029148466,0.25978817887761857,0.20684863776029147,0.2018717344881028,1.2332871275035755,0.16639046482490982,0.20426782710717978,1.4358979958984002,0.2891775094715467,0.2730341887758133,0.35172505720903513,0.19833298009161077,0.33055147864229445,0.5918452226747046,0.36794076740672926
HAR,0.28430030237958565,0.2775850952080039,0.2981354168495488,0.2889514282482066,0.26137213705664636,0.38807647567949094,0.2790132846943842,0.6639596962927635,0.34105708627116665,0.27943308860613225,0.2984865860172377,0.20308907428556158,0.8019472165760251,0.22723677068461168,0.25123435273870093,1.1883732158937796,0.480922658989865,0.3016788890373606,0.590608877672932,0.28627324062141296,0.3666607293863481,0.36607766833008787,0.39656696779635686
SHAR,0.28472759920483937,0.27564655983229785,0.2979790956450708,0.28478425747547115,0.26126228244446303,0.3896714835808132,0.27713578736700417,0.6694227941275772,0.3769019953465541,0.2823076529429268,0.29855983102392725,0.2614972970048608,0.8017341869677113,0.22716743855349641,0.2510815767950454,1.186884440816107,0.4702970708987781,0.30179548549668844,0.5912934899228698,0.28629995466365243,0.3668945427117012,0.36593775967812797,0.40042193556818106
HAR-J,0.283351690760534,0.35551062369398223,0.32919538262732395,0.2888166912433768,0.2603321933686175,0.3895415831754933,0.27652486421285016,0.664045894013632,0.342218817022867,0.2796521118218846,0.29890110437845313,0.20314609367538788,0.7943290171407082,0.22643186877890972,0.2457098608608888,1.194270507710475,0.4785067123426167,0.30153050866738074,0.5995727473854042,0.28590204613436354,0.3762960447540804,0.36693600401966636,0.40185101671767726
GBRT,0.2632712498276985,0.24558815818906166,0.2109197359295915,0.27419091638681853,0.2529018821447596,0.29889970927277343,0.2156211101817207,0.7998422806159717,0.23577834501242131,0.31651179145606817,0.2438751461214712,0.22086636306223878,1.5558943676946688,0.1809994964807683,0.23758893635510767,1.5295650885801566,0.2925657902907777,0.26268826112463495,0.35428486783526986,0.2478614497115078,0.3946354801296034,0.451963039658147,0.4130142484573289
EWMA,0.273754917893277,0.301928252711683,0.21750791013109685,0.27364003235377815,0.26811923675966215,0.2985384540350661,0.2332320235361495,0.4923501622477854,0.23946096647101456,0.2665094885229561,0.2400618453643755,0.2327136347072489,1.9051588819811798,0.19969109133983026,0.26209960499953616,2.424630136005784,0.3228978491832731,0.3689678622375367,0.3791789050700895,0.2213338716772462,0.4368249265155034,0.4687256595515622,0.46942389605889245
HistMean,0.3649775696676368,0.35986043080015795,0.3961729575984715,0.44818866833759025,0.3234460873103522,0.5090297736213657,0.3294158047499261,0.8230770925830028,0.47081882421200427,0.4022452346196487,0.37018813749231383,0.24465103934344293,0.6728619860425972,0.30970798046917225,0.32688944088902716,1.0380044899312155,0.6480242458267143,0.3919517829001765,0.788795356971488,0.41615948635515915,0.48292633092654885,0.560021732753615,0.4853370206091649
HARQ,0.34361709072894,0.2878837867302605,0.3450898957684593,0.2736917247634658,0.3887550559080213,0.42915749047220364,0.26894168874291263,2.1037070504195943,0.32829367799992176,0.40815059504821594,0.4230175974562158,0.20065552570716252,0.8160972282464117,0.21633600091244043,0.3512756974903105,1.191959719790891,0.5630326049239127,0.29302318553621587,0.6016679135958705,0.37325739111675804,0.45752870856466143,0.6829331391738326,0.5158214895043943
HAR-CJ,0.2827746959511512,0.5821260602300266,0.2986595472447931,0.2814336741010118,0.2604683145545622,0.7176195322332859,0.2763246512796504,0.6162211307943064,0.3549556511099008,0.9015523925100817,0.3053182662479552,0.946338350900586,0.79135609843627,0.2284187455672443,0.23858768725893365,1.1794772936655038,0.47326244877120777,0.30695165110097006,1.5940179616783041,0.294991948017139,0.6462791533470748,0.40494567412138194,0.5446400422327882
MA22,0.31642266547059406,0.3714807313994841,0.26344650833182803,0.3350965642594929,0.3197374079922205,0.35872572671959263,0.2963917897610817,0.6364221490625364,0.29278141620064146,0.3428666718207418,0.28849613446268974,0.3065297829115887,2.276399350189956,0.23359139547559785,0.3202319735103149,2.5551359761197836,0.37902089926665306,0.47521605221587115,0.407427187152475,0.2667190186117548,0.4853792086107188,0.5614700858866821,0.5494994861560135
RW,0.6648460629015511,0.5614435420405645,0.4908576045786061,0.5719777231971471,0.6973256750971664,0.6942606230350756,0.8812784166678359,1.5095691368210589,0.5150210475645682,0.7356449177728396,0.6810476092620469,0.6801728928634936,4.87621507649383,0.47578300680040847,0.6208333127382415,2.993657384578323,0.6620933315562136,0.7575724946483829,0.7153734570038353,0.5332298132178958,0.7300519065096319,1.1486465309361589,1.0089500711947672
