,C,CL,ES,EU,FV,GC,HG,NG,NQ,S,SI,TY,W,avg_QLIKE
LogHAR-CJ,0.26698151717164187,0.12473738901089271,0.1871118705093564,0.145560920796744,0.22827824706745867,0.1579058141745014,0.13069429359232573,0.15544677526943787,0.17818307504255004,0.22336296335837325,0.1348428421114127,0.18365453306432203,0.16344798799157004,0.17540063301235284
LogSHAR,0.2793362645419185,0.1272853033833841,0.18282792285168398,0.1497061245631528,0.23289325585599874,0.16548520911721276,0.129650008998199,0.16904009252738283,0.17423675531268085,0.22522815682600894,0.13468146036413303,0.187669418730021,0.16815474668768418,0.17893805536611235
LogHAR,0.27918922857388223,0.12915427559269071,0.18764708603163396,0.15019251043086737,0.2361771904192516,0.1663603000358273,0.1293438124453935,0.17219284840245525,0.17897662836039424,0.22406280755353267,0.13493712560003862,0.19014476468140631,0.16307625276825288,0.18011191006889435
ARFIMA,0.27424915568047575,0.15028589576136803,0.19793639555010434,0.15651530637125105,0.24906816260613485,0.17181030591732593,0.1425105294976453,0.17737679368631773,0.18913509980727933,0.22851405127179342,0.141423665498917,0.19775608126965072,0.1819495018092092,0.18911776497903635
GBRT,0.267572333357651,0.22304149641331758,0.20339204016752338,0.15211570193196064,0.24919639581876846,0.16482182118831912,0.1320388879913742,0.1686349301658083,0.19176604353404453,0.21969582479240468,0.1434475700079542,0.19517823343866694,0.1691750450633008,0.190775101836238
AR1Log,0.3084600015511844,0.16533184317897245,0.20736313931862052,0.17199945645010634,0.27484798430383894,0.19220982636816167,0.15427592159944856,0.2024445751756027,0.20537064779647227,0.25046330068116046,0.1615532500917249,0.2150131687608557,0.3332311883041572,0.21865879258310048
EWMA,0.30050770954729233,0.19319592915113074,0.31198815274014485,0.1676671347799225,0.26351719725178147,0.18508347464105718,0.15337918906859221,0.20083284976467933,0.27649354490364897,0.2394914176011849,0.16298889453889004,0.21964369177303525,0.16888431659199682,0.21874411556564283
MA22,0.31593037163226373,0.19276281881446766,0.333544082216727,0.17769922737053967,0.27397528406213706,0.19781876645968963,0.1605636269154837,0.20096661491421877,0.29269356276454933,0.24520677592425336,0.17340614403906088,0.23048445544557544,0.17502559482576818,0.22846748656805654
LogHAR-J,0.27874735864845995,1.1184266837068724,0.18817569917277857,0.148715082126235,0.23286965853205718,0.16376677914687243,0.1376146813701209,0.171155992079784,0.1788184597554276,0.22306896300261014,0.1354485693582784,0.18644520080610644,0.16616181752228376,0.2561088419406067
HistMean,0.4295010076676694,0.9312355588525703,0.7117658630129369,0.3339063655713101,0.5009874031688965,1.4395216779437605,0.3009426245042013,0.42436393975969006,0.5918821700329048,0.3146027195256899,0.45451037324012095,0.3718621598875599,0.296553822061344,0.5462796680945119
RW,0.49894084487497115,0.1804213605742061,0.26175034508827294,0.2203470485436203,0.35881782718468175,0.23980406097714788,0.1730085511900151,0.23395650140787438,0.27550058888569756,0.38481663888694406,0.19382901726449495,0.28072694757983874,3.8996071355297564,0.5539636052298094
HARQ,0.6228871725410323,1.8003100641317364,0.20130283303864968,0.35483038147684226,0.2482939935089453,1.3117669457257903,0.25905248609186,0.40033518367121473,0.18613918111014047,0.6703071079440325,0.831445727821331,0.20867580225468252,0.16175717868796366,0.5582387736926323
HAR,0.31351916018960324,26.938607166283298,0.19855081317810924,0.15292009767424045,0.25977476420786866,1.348878628071389,0.13549815126314146,0.20621999913168598,0.18183150131208764,0.2521039408608452,0.1390720921884564,0.1994161017443304,0.16383030614272995,2.3454017478652145
SHAR,0.3125436206092239,26.939216186123577,0.19101075610691778,0.15370430102569513,0.2546886092305518,17.102200266627115,0.13910634477658324,0.1974702852895462,0.23823746108836796,0.25039058737438324,0.14787141152927671,0.19735255947914848,0.1637987779796022,3.560583935941537
HAR-J,0.2954304323226357,27.92821569884989,0.20087109160771868,0.23442220799407637,0.2433370862339167,53.10772460736083,0.13702345943137156,0.1784618450730013,0.1872641656216668,0.2471324677073165,0.1418695512486549,0.19040135464634445,0.1608805384034125,6.4040795774231425
HAR-CJ,0.45818123259526394,72.51219408097708,1.702469298697149,0.21106941810139362,0.24116122057459283,69.77590942511662,0.1379966139071968,0.16950112338882806,1.1659159464454774,0.24250218939337786,0.1426490684892632,0.19060428306859767,0.1610769506165809,11.316248527028574
